station,name,lat,lon,id
Centro,Centro,40.4142134,-3.6991089,6141299
ESCUELAS AGUIRRE,ESCUELAS AGUIRRE,40.42166665995589,-3.682222219837608,4323
MENDEZ ALVARO,MENDEZ ALVARO,40.39805555018832,-3.6866666598586173,4331
CASTELLANA,CASTELLANA,40.439722219952834,-3.690277769621476,4275
CUATRO CAMINOS-PABLO,CUATRO CAMINOS-PABLO IGLESIAS,40.44527776982108,-3.7063888799689946,4285
PLAZA ELÍPTICA,PLAZA ELÍPTICA,40.38470000028444,-3.718600000324588,4328
CASA DE CAMPO,CASA DE CAMPO,40.42000000010348,-3.7491666600869733,4274
Invernadero SinCO2,Invernadero SinCO2,40.4515299,-3.722884,2826460
Invernadero ConCO2,Invernadero ConCO2,40.4515299,-3.722884,2826464
PLAZA CASTILLA-CANAL,PLAZA CASTILLA-CANAL,40.465833329674865,-3.6883333302563877,4320
CIEC,CIEC,40.40044047548126,-3.6066463783427487,5308002
ES1567A,ES1567A,40.33971999947,-3.73583,3265
