city,k,topology,gcn_r2,lin_r2,delta_r2
beijing,3,distance,0.8681068602996811,0.654812570690393,0.2132942896092881
beijing,3,correlation,0.801883614308917,0.654812570690393,0.14707104361852397
london,3,distance,0.5155998644181696,0.8407656189218334,-0.3251657545036638
london,3,correlation,0.4921749657828829,0.8407656189218334,-0.34859065313895055
madrid,3,distance,0.5235492221688663,0.8133361466253117,-0.2897869244564454
madrid,3,correlation,0.5027703325086079,0.8133361466253117,-0.3105658141167038
beijing,5,distance,0.9296377667889779,0.9494474184426989,-0.01980965165372095
beijing,5,correlation,0.9085274446910643,0.9494474184426989,-0.040919973751634586
london,5,distance,0.4600176491799901,0.8407656189218334,-0.38074796974184333
london,5,correlation,0.4329315999747234,0.8407656189218334,-0.40783401894711
madrid,5,distance,0.4699698190287488,0.8133361466253117,-0.34336632759656294
madrid,5,correlation,0.4377576266670997,0.8133361466253117,-0.375578519958212
beijing,8,distance,0.9263960089310787,0.9376555448412728,-0.01125953591019413
beijing,8,correlation,0.8905775325806683,0.9376555448412728,-0.047078012260604485
london,8,distance,0.442878341259202,0.8407656189218334,-0.39788727766263143
london,8,correlation,0.3574478266186294,0.8407656189218334,-0.48331779230320404
madrid,8,distance,0.45720820750737756,0.8133361466253117,-0.35612793911793417
madrid,8,correlation,0.40687872894871324,0.8133361466253117,-0.4064574176765985
